Symbol	chrom	start	end
MST1P2	1	16972068	16976915
ESPNP	1	17017712	17046652
MST1P9	1	17081128	17090975
CROCC	1	17248444	17299474
MFAP2	1	17300998	17308081
ATP13A2	1	17312452	17338423
SDHB	1	17345224	17380665
PADI2	1	17393255	17445948
PADI1	1	17531620	17572501
PADI3	1	17575592	17610727
PADI4	1	17634689	17690495
PADI6	1	17698740	17728195
RCC2	1	17733250	17766250
ARHGEF10L	1	17866329	18024370
ACTL8	1	18081807	18153558
IGSF21	1	18434239	18704977
KLHDC7A	1	18807423	18812480
PAX7	1	18957499	19075360
TAS1R2	1	19166092	19186155
ALDH4A1	1	19197923	19229293
MIR4695	1	19209695	19209769
IFFO2	1	19230773	19282826
UBR4	1	19400999	19536746
KIAA0090	1	19542157	19578053
MRTO4	1	19578074	19586622
AKR7L	1	19592475	19600568
AKR7A3	1	19609056	19615280
LOC100506730	1	19619740	19622230
AKR7A2	1	19629201	19638640
PQLC2	1	19638739	19655794
CAPZB	1	19665266	19812066
C1orf151-NBL1	1	19923470	19984949
MINOS1	1	19923470	19956315
NBL1	1	19969722	19984949
HTR6	1	19991779	20006055
TMCO4	1	20008705	20126410
RNF186	1	20140521	20141771
OTUD3	1	20208887	20239437
PLA2G2E	1	20246799	20250110
PLA2G2A	1	20301923	20306932
PLA2G5	1	20396700	20418394
PLA2G2D	1	20439142	20446059
PLA2G2F	1	20465822	20476879
PLA2G2C	1	20490483	20501687
UBXN10	1	20512577	20519942
VWA5B1	1	20617411	20681387
LOC339505	1	20686293	20755287
CAMK2N1	1	20808883	20812728
MUL1	1	20825940	20834674
FAM43B	1	20878931	20881513
CDA	1	20915443	20945400
PINK1	1	20959947	20978004
DDOST	1	20978259	20988037
KIF17	1	20990506	21044317
SH2D5	1	21046224	21059133
HP1BP3	1	21069170	21113181
EIF4G3	1	21132784	21503381
ECE1	1	21543739	21672034
LOC100506801	1	21619782	21626362
NBPF3	1	21766582	21811393
ALPL	1	21835857	21904905
RAP1GAP	1	21922707	21995856
USP48	1	22004791	22109688
LDLRAD2	1	22138757	22151714
HSPG2	1	22148736	22263750
CELA3B	1	22303417	22315847
CELA3A	1	22328148	22339035
LINC00339	1	22351706	22357715
CDC42	1	22379119	22419436
WNT4	1	22443797	22469519
ZBTB40	1	22778343	22857650
EPHA8	1	22890003	22930087
C1QA	1	22963117	22966175
C1QC	1	22970117	22974603
C1QB	1	22979681	22988029
EPHB2	1	23037330	23241823
MIR4684	1	23046009	23046091
MIR4253	1	23189651	23189719
LOC729059	1	23337326	23342343
KDM1A	1	23345940	23410184
MIR3115	1	23370797	23370865
LUZP1	1	23410515	23495351
HTR1D	1	23518387	23521222
HNRNPR	1	23636275	23670853
ZNF436	1	23685940	23696357
C1orf213	1	23695463	23698330
TCEA3	1	23707554	23751261
ASAP3	1	23755055	23810750
E2F2	1	23832919	23857712
ID3	1	23884420	23886285
MDS2	1	23953823	23967056
RPL11	1	24018268	24022915
TCEB3	1	24069855	24088549
LOC100506963	1	24086871	24104787
PITHD1	1	24104875	24114722
LYPLA2	1	24117645	24122029
GALE	1	24122088	24127294
HMGCL	1	24128366	24151949
FUCA1	1	24171571	24194859
CNR2	1	24200459	24239817
MIR378F	1	24255559	24255637
PNRC2	1	24286300	24289949
SRSF10	1	24292936	24306953
MYOM3	1	24382530	24438665
IL22RA1	1	24446260	24469775
IL28RA	1	24480646	24513765
LOC284632	1	24526729	24538180
GRHL3	1	24645811	24690970
C1orf201	1	24683488	24741587
NIPAL3	1	24742244	24799473
RCAN3AS	1	24822822	24828850
RCAN3	1	24828840	24863510
C1orf130	1	24882566	24935818
SRRM1	1	24969593	24999772
CLIC4	1	25071759	25170815
RUNX3	1	25226001	25291501
SYF2	1	25548766	25559013
C1orf63	1	25568739	25573985
RHD	1	25598980	25656936
TMEM50A	1	25664788	25688852
RHCE	1	25688739	25747363
TMEM57	1	25757387	25826698
LDLRAP1	1	25870075	25895377
MAN1C1	1	25943958	26111258
SEPN1	1	26126666	26144713
FAM54B	1	26146396	26159433
LOC646471	1	26146444	26150097
C1orf135	1	26160496	26185848
PAQR7	1	26187974	26197744
STMN1	1	26210676	26233368
MIR3917	1	26232852	26232945
PAFAH2	1	26286257	26324648
EXTL1	1	26348270	26362954
SLC30A2	1	26364513	26372604
TRIM63	1	26377795	26394125
PDIK1L	1	26437655	26452039
FAM110D	1	26485510	26489119
ZNF593	1	26496387	26497364
CNKSR1	1	26503980	26516375
CATSPER4	1	26517118	26529033
CEP85	1	26560692	26605299
SH3BGRL3	1	26606212	26608013
UBXN11	1	26608772	26644756
CD52	1	26644410	26647014
AIM1L	1	26648349	26680621
ZNF683	1	26688124	26699266
LIN28A	1	26737268	26756219
DHDDS	1	26758772	26797795
HMGN2	1	26798901	26803133
RPS6KA1	1	26856248	26901520
MIR1976	1	26881032	26881084
ARID1A	1	27022521	27108601
PIGV	1	27114453	27124894
ZDHHC18	1	27153200	27182211
SFN	1	27189632	27190947
GPN2	1	27205872	27216869
GPATCH3	1	27216978	27226962
NR0B2	1	27237974	27240567
NUDC	1	27248212	27273362
C1orf172	1	27276046	27286901
TRNP1	1	27320194	27327377
FAM46B	1	27331510	27339333
SLC9A1	1	27425299	27481621
WDTC1	1	27561006	27635124
TMEM222	1	27648635	27662891
LOC644961	1	27650364	27653016
SYTL1	1	27668482	27680423
MAP3K6	1	27681669	27693337
FCN3	1	27695600	27701315
CD164L2	1	27705595	27709805
GPR3	1	27719147	27722317
WASF2	1	27730733	27816678
AHDC1	1	27860755	27930143
FGR	1	27938800	27961727
IFI6	1	27992571	27998724
FAM76A	1	28052489	28089423
STX12	1	28099693	28150963
PPP1R8	1	28157251	28178183
SCARNA1	1	28160911	28161077
C1orf38	1	28199054	28213193
RPA2	1	28218048	28241236
SMPDL3B	1	28261503	28285663
XKR8	1	28286503	28294604
EYA3	1	28296854	28415148
PTAFR	1	28473676	28520447
DNAJC8	1	28526789	28559542
ATPIF1	1	28562601	28564616
SESN2	1	28585962	28609002
MED18	1	28655512	28662478
PHACTR4	1	28696092	28826881
RCC1	1	28832454	28865708
SNHG3	1	28832454	28837404
TRNAU1AP	1	28879528	28905057
SNHG12	1	28905049	28908366
SNORD99	1	28905254	28905334
SNORA61	1	28906275	28906405
SNORA44	1	28906892	28907024
SNORA16A	1	28907431	28907565
RAB42	1	28918711	28921088
TAF12	1	28929608	28969604
RNU11	1	28975111	28975246
GMEB1	1	28995239	29042115
YTHDF2	1	29063132	29096287
OPRD1	1	29138653	29190208
EPB41	1	29213602	29446558
TMEM200B	1	29445936	29450421
SRSF4	1	29474249	29508637
MECR	1	29519384	29557454
PTPRU	1	29563027	29653325
MATN1	1	31184123	31196432
LOC100129196	1	31191618	31199593
LAPTM5	1	31205314	31230683
MIR4420	1	31212002	31212079
SDC3	1	31342312	31381480
PUM1	1	31404352	31538564
SNORD103A	1	31408535	31422052
SNORD103B	1	31408535	31422052
SNORD85	1	31441009	31441084
NKAIN1	1	31652591	31712734
SNRNP40	1	31732414	31769644
ZCCHC17	1	31769841	31837780
FABP3	1	31838099	31845923
SERINC2	1	31882411	31907527
LOC149086	1	31971838	31974167
LOC284551	1	31984035	31989846
TINAGL1	1	32042085	32053287
HCRTR1	1	32083300	32092919
PEF1	1	32095462	32110838
COL16A1	1	32117847	32169768
BAI2	1	32192717	32229648
MIR4254	1	32224260	32224336
SPOCD1	1	32256024	32281580
PTP4A2	1	32372021	32403988
KHDRBS1	1	32479294	32526460
TMEM39B	1	32538502	32568467
KPNA6	1	32573643	32642168
TXLNA	1	32645344	32663886
CCDC28B	1	32666201	32670991
IQCC	1	32671235	32674288
DCDC2B	1	32674694	32681797
TMEM234	1	32681797	32687926
EIF3I	1	32687970	32697205
MTMR9LP	1	32697260	32707311
FAM167B	1	32712817	32714461
LCK	1	32716839	32751766
HDAC1	1	32757707	32799224
MARCKSL1	1	32799429	32801840
LOC100128071	1	32826870	32827844
TSSK3	1	32827861	32829924
BSDC1	1	32830704	32860062
ZBTB8B	1	32930657	32953459
ZBTB8A	1	33004771	33071542
ZBTB8OS	1	33087306	33116185
RBBP4	1	33116748	33151812
SYNC	1	33145506	33168361
KIAA1522	1	33207511	33240571
YARS	1	33240839	33283633
S100PBP	1	33283042	33324480
FNDC5	1	33327868	33338093
HPCA	1	33352097	33360247
TMEM54	1	33360195	33366953
RNF19B	1	33402049	33430286
AK2	1	33473540	33502512
ADC	1	33546713	33585995
TRIM62	1	33611002	33647671
ZNF362	1	33722173	33766320
PHC2	1	33789223	33841194
MIR3605	1	33797993	33798093
ZSCAN20	1	33938231	33961995
CSMD2	1	33979608	34631443
HMGB4	1	34326075	34330392
LOC402779	1	34334556	34351059
C1orf94	1	34632623	34684731
GJB5	1	35220647	35224113
GJB4	1	35225341	35229325
GJB3	1	35246789	35251967
GJA4	1	35258598	35261348
C1orf212	1	35315962	35325417
DLGAP3	1	35331036	35370984
LOC653160	1	35441299	35444307
ZMYM6NB	1	35447126	35450948
ZMYM6	1	35451766	35497569
ZMYM1	1	35544971	35581455
SFPQ	1	35649200	35658743
ZMYM4	1	35734567	35887545
KIAA0319L	1	35899090	36023037
NCDN	1	36023392	36032380
TFAP2E	1	36038970	36060927
PSMB2	1	36065142	36107445
C1orf216	1	36179476	36184790
CLSPN	1	36197712	36235551
EIF2C4	1	36273827	36323490
EIF2C1	1	36348809	36389899
EIF2C3	1	36396682	36522063
TEKT2	1	36549675	36553876
ADPRHL2	1	36554452	36559533
COL8A2	1	36560843	36565850
TRAPPC3	1	36602169	36621654
MAP7D1	1	36621802	36646441
THRAP3	1	36690016	36770957
SH3D21	1	36771993	36786948
FAM176B	1	36787631	36789755
STK40	1	36805224	36851485
LSM10	1	36859030	36863493
OSCP1	1	36883506	36916086
MRPS15	1	36921361	36930040
CSF3R	1	36931643	36948915
GRIK3	1	37261127	37499844
MIR4255	1	37627163	37627235
LOC728431	1	37920479	37940044
ZC3H12A	1	37940118	37949978
MEAF6	1	37955560	37980420
SNIP1	1	38000049	38019945
DNALI1	1	38022519	38032458
GNL2	1	38032412	38061586
RSPO1	1	38076950	38100595
C1orf109	1	38147241	38156192
CDCA8	1	38158072	38175391
EPHA10	1	38181645	38230824
MANEAL	1	38259773	38267278
YRDC	1	38268613	38273865
C1orf122	1	38273472	38275126
MTF1	1	38275238	38325292
INPP5B	1	38326368	38412729
SF3A3	1	38422651	38455761
FHL3	1	38462441	38471187
UTP11L	1	38478383	38490497
POU3F1	1	38509522	38512450
MIR3659	1	38554902	38555001
LOC339442	1	38674705	38680439
RRAGC	1	39303868	39325495
GJA9-MYCBP	1	39328161	39347298
MYCBP	1	39328161	39339050
GJA9	1	39339738	39347298
RHBDL2	1	39351478	39407456
AKIRIN1	1	39456915	39471737
NDUFS5	1	39491966	39500308
MACF1	1	39549838	39952810
KIAA0754	1	39875175	39882154
BMP8A	1	39957317	39995541
PPIEL	1	39987951	40025370
PABPC4	1	40026484	40042521
SNORA55	1	40033045	40033182
HEYL	1	40089102	40105348
NT5C1A	1	40124792	40137710
HPCAL4	1	40144644	40157089
PPIE	1	40204516	40229586
BMP8B	1	40223902	40254533
OXCT2	1	40235196	40237020
TRIT1	1	40306705	40349177
MYCL1	1	40361095	40367687
MFSD2A	1	40420783	40435628
CAP1	1	40506254	40538321
PPT1	1	40538381	40563142
RLF	1	40627040	40706593
TMCO2	1	40713572	40717365
ZMPSTE24	1	40723721	40759856
COL9A2	1	40766162	40782939
SMAP2	1	40839377	40888998
ZNF643	1	40916336	40929390
ZNF642	1	40943301	40962015
DEM1	1	40974432	40982214
ZNF684	1	40997232	41013841
RIMS3	1	41086351	41131324
LOC100130557	1	41154751	41157933
NFYC	1	41157241	41237275
MIR30E	1	41220026	41220118
MIR30C1	1	41222955	41223044
KCNQ4	1	41249683	41306124
CITED4	1	41326727	41328018
CTPS	1	41445006	41478235
LOC100507178	1	41480261	41509562
SLFNL1	1	41481268	41487427
SCMH1	1	41492870	41707815
EDN2	1	41944445	41950344
HIVEP3	1	41972035	42501596
GUCA2B	1	42619091	42621495
GUCA2A	1	42628361	42630395
FOXJ3	1	42642209	42801548
RIMKLA	1	42846467	42889900
ZMYND12	1	42896000	42921938
PPCS	1	42922172	42926086
CCDC30	1	43000559	43120335
PPIH	1	43124047	43142429
YBX1	1	43148065	43168020
CLDN19	1	43198763	43205925
LEPRE1	1	43212005	43232755
C1orf50	1	43232915	43241413
LOC100129924	1	43253660	43263901
CCDC23	1	43272722	43283059
ERMAP	1	43282775	43310660
ZNF691	1	43312243	43318146
SLC2A1	1	43391045	43424847
FLJ32224	1	43424719	43449029
FAM183A	1	43613593	43622067
EBNA1BP2	1	43629844	43638241
WDR65	1	43638000	43720029
TMEM125	1	43735664	43739673
C1orf210	1	43747556	43751288
TIE1	1	43766565	43788781
MPL	1	43803474	43820135
CDC20	1	43824625	43828873
ELOVL1	1	43829067	43833745
MED8	1	43849578	43855483
SZT2	1	43855555	43919918
HYI	1	43916673	43919660
PTPRF	1	43996546	44089343
KDM4A	1	44115796	44171189
LOC100132774	1	44165408	44173012
ST3GAL3	1	44173203	44396837
ARTN	1	44398991	44402912
IPO13	1	44412477	44433694
DPH2	1	44435652	44439043
ATP6V0B	1	44440601	44443972
B4GALT2	1	44444873	44456843
CCDC24	1	44457279	44462198
SLC6A9	1	44462154	44497164
KLF17	1	44584521	44600809
DMAP1	1	44679124	44686351
ERI3	1	44686741	44820939
RNF220	1	44870959	45117396
TMEM53	1	45119500	45140099
C1orf228	1	45140393	45191263
KIF2C	1	45205489	45233438
RPS8	1	45241245	45244412
SNORD55	1	45241536	45241610
SNORD46	1	45242163	45242261
SNORD38A	1	45243513	45243584
SNORD38B	1	45244061	45244130
BEST4	1	45249256	45253426
PLK3	1	45266035	45271667
TCTEX1D4	1	45271585	45272957
BTBD19	1	45274153	45279801
PTCH2	1	45285515	45308616
EIF2B3	1	45316193	45452394
HECTD3	1	45468219	45477027
UROD	1	45477804	45481341
ZSWIM5	1	45482075	45672250
LOC400752	1	45769581	45771291
HPDL	1	45792544	45794346
MUTYH	1	45794913	45806142
TOE1	1	45805341	45809650
TESK2	1	45809554	45956840
CCDC163P	1	45959597	45965751
MMACHC	1	45965855	45976739
PRDX1	1	45976706	45988562
AKR1A1	1	46016454	46035723
NASP	1	46049659	46084578
CCDC17	1	46085715	46089731
GPBP1L1	1	46092975	46152302
RPS15AP10	1	46111451	46112357
TMEM69	1	46153846	46160108
IPP	1	46159997	46216485
MAST2	1	46269284	46501796
PIK3R3	1	46505811	46598708
TSPAN1	1	46640748	46651634
POMGNT1	1	46654352	46685977
LURAP1	1	46669005	46686928
RAD54L	1	46713366	46744145
LRRC41	1	46744071	46769038
UQCRH	1	46769379	46782447
NSUN4	1	46805848	46830824
FAAH	1	46859938	46879520
LOC729041	1	46899498	46911374
DMBX1	1	46972667	46979886
LOC100507423	1	47004367	47035927
KNCN	1	47011315	47016887
MKNK1	1	47023078	47069966
MOB3C	1	47073386	47082563
ATPAF1	1	47100710	47134099
ATPAF1-AS1	1	47137496	47139256
LOC100130197	1	47139707	47157769
KIAA0494	1	47140830	47184736
CYP4B1	1	47264669	47285021
CYP4Z2P	1	47308766	47366147
CYP4A11	1	47394845	47407156
CYP4X1	1	47489239	47516423
CYP4Z1	1	47533159	47583992
CYP4A22	1	47603106	47614526
PDZK1IP1	1	47649260	47655771
TAL1	1	47681962	47695443
STIL	1	47715810	47779819
CMPK1	1	47799468	47844511
FOXE3	1	47881743	47883724
MGC12982	1	47897806	47900313
FOXD2	1	47901688	47906363
LOC388630	1	48226199	48462562
SKINTL	1	48567386	48648100
SLC5A9	1	48688356	48714316
SPATA6	1	48761043	48937876
AGBL4	1	48998526	50489626
BEND5	1	49193539	49242547
ELAVL4	1	50513685	50667540
DMRTA2	1	50883222	50889119
FAF1	1	50906934	51425936
CDKN2C	1	51434366	51440309
C1orf185	1	51567905	51613754
RNF11	1	51701944	51739119
TTC39A	1	51752929	51810785
EPS15	1	51819934	51984995
OSBPL9	1	52082545	52254891
NRD1	1	52254865	52344609
MIR761	1	52302015	52302074
RAB3B	1	52373627	52456436
TXNDC12	1	52485803	52521843
KTI12	1	52497776	52499472
BTF3L4	1	52521856	52556388
ZFYVE9	1	52607765	52812358
CC2D1B	1	52816264	52831877
ORC1	1	52838500	52870143
PRPF38A	1	52870218	52883992
ZCCHC11	1	52888947	53018762
GPX7	1	53068042	53074723
FAM159A	1	53099065	53122737
SELRC1	1	53152013	53164038
ZYG11B	1	53192130	53293013
ZYG11A	1	53308182	53360247
ECHDC2	1	53361581	53387446
SCP2	1	53392900	53517289
PODN	1	53527723	53551174
SLC1A7	1	53552854	53608289
CPT2	1	53662100	53679869
C1orf123	1	53679771	53686289
MAGOH	1	53692563	53704282
LOC100507564	1	53704281	53708455
LRP8	1	53708040	53793821
FLJ40434	1	53904042	53905693
DMRTB1	1	53925071	53933158
GLIS1	1	53971905	54199877
TMEM48	1	54231133	54304225
YIPF1	1	54317391	54355487
DIO1	1	54359860	54376759
HSPB11	1	54387233	54411288
LRRC42	1	54411998	54433841
LDLRAD1	1	54472970	54483859
TMEM59	1	54497348	54519111
TCEANC2	1	54519273	54565416
MIR4781	1	54519751	54519827
CDCP2	1	54604667	54618679
CYB5RL	1	54638026	54665746
MRPL37	1	54665839	54684056
SSBP3	1	54691103	54872068
ACOT11	1	55013806	55100417
FAM151A	1	55074849	55089200
HEATR8	1	55107426	55175939
HEATR8-TTC4	1	55107426	55208328
TTC4	1	55181494	55208328
PARS2	1	55222570	55230226
TTC22	1	55246751	55266941
C1orf177	1	55271735	55307937
DHCR24	1	55315299	55352921
TMEM61	1	55446464	55457966
BSND	1	55464616	55474465
PCSK9	1	55505148	55530526
USP24	1	55532031	55681039
LOC100507634	1	55681080	55683128
MIR4422	1	55691313	55691396
PPAP2B	1	56960418	57045257
PRKAA2	1	57110989	57181008
C1orf168	1	57184476	57285369
C8A	1	57320442	57383894
C8B	1	57394882	57431688
DAB1	1	57463578	58716211
OMA1	1	58946390	59012446
TACSTD2	1	59041094	59043166
MYSM1	1	59120410	59165747
JUN	1	59246462	59249785
LOC100131060	1	59250822	59365384
HSD52	1	59597607	59612479
FGGY	1	59762624	60228402
MIR4711	1	60198898	60198968
HOOK1	1	60280532	60342050
CYP2J2	1	60358979	60392423
C1orf87	1	60456065	60539442
NFIA	1	61542945	61928460
TM2D1	1	62146718	62191095
INADL	1	62208148	62629591
L1TD1	1	62660473	62678001
KANK4	1	62701836	62785083
USP1	1	62901974	62917475
DOCK7	1	62920396	63154039
ANGPTL3	1	63063157	63071976
ATG4C	1	63249776	63330941
LINC00466	1	63624753	63782901
FOXD3	1	63788729	63790797
ALG6	1	63833260	63904233
ITGB3BP	1	63906440	63988944
EFCAB7	1	63989012	64038364
DLEU2L	1	64014650	64016307
PGM1	1	64058946	64125916
ROR1	1	64239689	64647179
UBE2U	1	64669489	64710027
CACHD1	1	64936475	65158741
MIR4794	1	65045529	65045604
RAVER2	1	65210777	65298914
JAK1	1	65298905	65432187
MIR3671	1	65523437	65523525
MIR101-1	1	65524116	65524191
AK4	1	65613231	65697828
DNAJC6	1	65730376	65881552
LEPROT	1	65886130	65901690
LEPR	1	65886334	66103176
